user_id,quality,metadata,id,time_asleep,created_at,date_inferred,progress_log_id,log_data
c3650a98-16ba-4c06-9811-a6b994d5726e,unknown,"{""macros"":{""raw_string"":""P 30g / C 72g / F 30g (conf 0.75)""},""llm_method"":""health_interpretation_v1"",""hours_slept"":null,""estimation_notes"":""Assumed average-sized pork and vegetable dumplings, pan-fried or boiled."",""original_sleep_text"":""I got an okay 7hrs of sleep"",""source_log_timestamp"":""2025-12-04T22:54:21.763512+00:00"",""source_progress_log_id"":12}",11,,2025-12-04 22:54:21.845283+00,2025-12-04,12,
c3650a98-16ba-4c06-9811-a6b994d5726e,unknown,"{""macros"":{""raw_string"":""P 35g / C 40g / F 42g (conf 0.85)""},""llm_method"":""health_interpretation_v1"",""hours_slept"":null,""estimation_notes"":""Assumes a single-patty cheeseburger with bun and standard condiments."",""original_sleep_text"":""I got 7hrs of sleep"",""source_log_timestamp"":""2025-12-04T23:09:11.942588+00:00"",""source_progress_log_id"":13}",12,,2025-12-04 23:09:12.051305+00,2025-12-04,13,
c3650a98-16ba-4c06-9811-a6b994d5726e,good,"{""macros"":{""raw_string"":""P 29g / C 85g / F 21g (conf 0.75)""},""llm_method"":""health_interpretation_v1"",""hours_slept"":8,""estimation_notes"":""Assumed typical restaurant serving of doenjang jjigae (soybean paste stew) and 1 cup of white rice."",""original_sleep_text"":""8hrs of sleep were good"",""source_log_timestamp"":""2025-12-05T13:46:58.160538+00:00"",""source_progress_log_id"":14}",13,8.0h,2025-12-05 13:47:18.300673+00,2025-12-05,14,
c3650a98-16ba-4c06-9811-a6b994d5726e,okay,"{""macros"":{""raw_string"":""P 40g / C 25g / F 30g (conf 0.75)""},""llm_method"":""health_interpretation_v1"",""hours_slept"":7,""estimation_notes"":""Assumes a standard restaurant-sized bowl of beef doenjang-jjigae without separate rice."",""original_sleep_text"":""7 hours of sleep was average"",""source_log_timestamp"":""2025-12-05T14:04:38.307247+00:00"",""source_progress_log_id"":15}",14,7.0h,2025-12-05 14:04:58.540494+00,2025-12-05,15,
c3650a98-16ba-4c06-9811-a6b994d5726e,unknown,"{""macros"":{""raw_string"":""P 45g / C 70g / F 25g (conf 0.75)""},""llm_method"":""health_interpretation_v1"",""hours_slept"":7,""estimation_notes"":""Assumes a generous bowl of beef dwengjang stew with tofu and vegetables, served with 1 cup cooked white rice."",""original_sleep_text"":""average 7 hours"",""source_log_timestamp"":""2025-12-05T14:10:39.771347+00:00"",""source_progress_log_id"":16}",15,7.0h,2025-12-05 14:10:59.652233+00,2025-12-05,16,
c3650a98-16ba-4c06-9811-a6b994d5726e,okay,"{""macros"":{""raw_string"":""P 193g / C 295g / F 190g (conf 0.6)""},""llm_method"":""health_interpretation_v1"",""hours_slept"":7,""estimation_notes"":""Estimates based on common restaurant and bakery serving sizes; portion sizes for 'small' items were interpreted generously."",""original_sleep_text"":""I slept an okay 7hrs"",""source_log_timestamp"":""2025-12-06T17:21:46.519034+00:00"",""source_progress_log_id"":17}",16,7.0h,2025-12-06 17:21:46.728209+00,2025-12-06,17,
c3650a98-16ba-4c06-9811-a6b994d5726e,okay,"{""macros"":{""raw_string"":""P 30g / C 70g / F 20g (conf 0.75)""},""llm_method"":""health_interpretation_v1"",""hours_slept"":7,""estimation_notes"":""Assumed 2 medium-sized rouganbao with typical pork floss filling."",""original_sleep_text"":""7 hours of okay sleep"",""source_log_timestamp"":""2025-12-06T17:59:17.794868+00:00"",""source_progress_log_id"":18}",17,7.0h,2025-12-06 17:59:17.879652+00,2025-12-06,18,
c3650a98-16ba-4c06-9811-a6b994d5726e,okay,"{""macros"":{""raw_string"":""P 103g / C 186g / F 108g (conf 0.75)""},""llm_method"":""health_interpretation_v1"",""hours_slept"":7,""estimation_notes"":""Estimates assume generous portions, especially for the restaurant curry and dinner items."",""original_sleep_text"":""I slept an okay 7 hours"",""source_log_timestamp"":""2025-12-08T15:34:50.641644+00:00"",""source_progress_log_id"":19}",18,7.0h,2025-12-08 15:34:50.730048+00,2025-12-08,19,
c3650a98-16ba-4c06-9811-a6b994d5726e,poor,"{""notes"":""Directly stated as '6hrs bad'."",""llm_method"":""sleep_interpretation_v1"",""original_text"":""6hrs bad"",""source_log_timestamp"":""2025-12-09T20:19:31.140646+00:00"",""source_progress_log_id"":20}",1765311571140664,6.0h,2025-12-09 20:19:31.140646+00,2025-12-09,20,
c3650a98-16ba-4c06-9811-a6b994d5726e,poor,"{""notes"":""User described sleep as 'bad'."",""llm_method"":""sleep_interpretation_v1"",""original_text"":""6 hours bad"",""source_log_timestamp"":""2025-12-09T21:19:08.173230+00:00"",""source_progress_log_id"":20}",1765315148173244,6.0h,2025-12-09 21:19:08.17323+00,2025-12-09,20,
c3650a98-16ba-4c06-9811-a6b994d5726e,poor,"{""notes"":""Explicitly stated 'bad' quality."",""llm_method"":""sleep_interpretation_v1"",""original_text"":""4 hours bad"",""source_log_timestamp"":""2025-12-09T21:24:03.303838+00:00"",""source_progress_log_id"":20}",1765315443303854,4.0h,2025-12-09 21:24:03.303838+00,2025-12-09,20,
c3650a98-16ba-4c06-9811-a6b994d5726e,okay,"{""notes"":""Sleep duration and quality explicitly stated."",""llm_method"":""sleep_interpretation_v1"",""original_text"":""7 hours of okay sleep"",""source_log_timestamp"":""2025-12-10T20:53:42.605493+00:00"",""source_progress_log_id"":21}",1765400022605506,7.0h,2025-12-10 20:53:42.605493+00,2025-12-10,21,
c3650a98-16ba-4c06-9811-a6b994d5726e,poor,"{""notes"":""Explicitly stated duration and quality."",""llm_method"":""sleep_interpretation_v1"",""original_text"":""5hrs bad"",""source_log_timestamp"":""2025-12-10T21:08:31.702756+00:00"",""source_progress_log_id"":21}",1765400911702772,5.0h,2025-12-10 21:08:31.702756+00,2025-12-10,21,
c3650a98-16ba-4c06-9811-a6b994d5726e,okay,"{""notes"":""Time and quality directly stated."",""llm_method"":""sleep_interpretation_v1"",""original_text"":""6hrs okay"",""source_log_timestamp"":""2025-12-10T22:27:13.165066+00:00"",""source_progress_log_id"":21}",1765405633165078,6.0h,2025-12-10 22:27:13.165066+00,2025-12-10,21,
c3650a98-16ba-4c06-9811-a6b994d5726e,poor,"{""notes"":""Explicitly stated 7 hours and 'bad' quality."",""llm_method"":""sleep_interpretation_v1"",""original_text"":""7 hours bad"",""source_log_timestamp"":""2025-12-11T20:34:00.358857+00:00"",""source_progress_log_id"":22}",1765485240358875,7.0h,2025-12-11 20:34:00.358857+00,2025-12-11,22,
c3650a98-16ba-4c06-9811-a6b994d5726e,good,"{""notes"":""User explicitly stated 8 hours of good sleep."",""llm_method"":""sleep_interpretation_v1"",""original_text"":""8hrs of good sleep"",""source_log_timestamp"":""2025-12-15T18:30:50.593209+00:00"",""source_progress_log_id"":23}",1765823450593225,8.0h,2025-12-15 18:30:50.593209+00,2025-12-15,23,
c3650a98-16ba-4c06-9811-a6b994d5726e,okay,"{""notes"":""Sleep duration and quality explicitly stated."",""llm_method"":""sleep_interpretation_v1"",""original_text"":""8hrs of okay sleep"",""source_log_timestamp"":""2025-12-16T19:52:15.528753+00:00"",""source_progress_log_id"":24}",1765914735528769,8.0h,2025-12-16 19:52:15.528753+00,2025-12-16,24,
c3650a98-16ba-4c06-9811-a6b994d5726e,unknown,"{""notes"":null,""llm_method"":""sleep_interpretation_v1"",""original_text"":""8hrs of good sleep"",""source_log_timestamp"":""2025-12-17T17:14:37.416055+00:00"",""source_progress_log_id"":25}",1765991677416068,,2025-12-17 17:14:37.416055+00,2025-12-17,25,
c3650a98-16ba-4c06-9811-a6b994d5726e,unknown,"{""notes"":null,""llm_method"":""sleep_interpretation_v1"",""original_text"":null,""source_log_timestamp"":""2025-12-04T22:04:46.079754+00:00"",""source_progress_log_id"":11}",1766173827556962,I slept 8 hoursh,2025-12-04 22:04:46.079754+00,2025-12-04,11,
c3650a98-16ba-4c06-9811-a6b994d5726e,unknown,"{""notes"":null,""llm_method"":""sleep_interpretation_v1"",""original_text"":null,""source_log_timestamp"":""2025-12-03T20:57:28.767976+00:00"",""source_progress_log_id"":10}",1767398803504039,I slept 8 hoursh,2025-12-03 20:57:28.767976+00,2025-12-03,10,
c3650a98-16ba-4c06-9811-a6b994d5726e,poor,"{""notes"":""Jet lagged"",""llm_method"":""sleep_interpretation_v1"",""original_text"":""Jet lagged so not great but 7 hours"",""source_log_timestamp"":""2026-01-03T00:07:38.211944+00:00"",""source_progress_log_id"":26}",1767398858211962,7.0h,2026-01-03 00:07:38.211944+00,2026-01-03,26,
